,Cluster
Finland,C0
Denmark,C0
Norway,C0
Iceland,C0
Netherlands,C0
Switzerland,C0
Sweden,C0
Austria,C0
Luxembourg,C0
United Kingdom,C0
Ireland,C0
Germany,C0
Belgium,C1
Czech Republic,C1
Malta,C0
France,C1
Spain,C1
Italy,C1
Slovakia,C1
Poland,C1
Lithuania,C1
Slovenia,C1
Kosovo,C1
Romania,C1
Cyprus,C1
Latvia,C1
Estonia,C1
Hungary,C1
Portugal,C1
Russia,C1
Serbia,C1
Moldova,C1
Montenegro,C1
Croatia,C1
Bosnia and Herzegovina,C1
Turkey,C1
Belarus,C1
Greece,C1
North Macedonia,C1
Bulgaria,C1
Albania,C1
Armenia,C1
Georgia,C1
Ukraine,C1
